part_id,descr,part_type,part_type_id,num_parts,num_sets,num_colors,min_year,max_year,url,img_url
3626bpr0781,"Minifig Head with Red Eyes, White Teeth and Silver Wrinkles Print [Blocked Open Stud]",Minifigs,6,5,5,1,2011,2012,https://rebrickable.com/parts/3626bpr0781/minifig-head-with-red-eyes+-white-teeth-and-silver-wrinkles-print-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/4630112.jpg
3626cpr1232,"Minifig Head Alien with SW Darth Maul, Red Face and Narrowed Eyes Print [Hollow Stud]",Minifigs,6,1,1,1,2013,2013,https://rebrickable.com/parts/3626cpr1232/minifig-head-alien-with-sw-darth-maul+-red-face-and-narrowed-eyes-print-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6040100.jpg
3626bpr1026,Minifig Head Alien with Robot Silver with Red Eyes Print [col08-1] [Blocked Open Stud],Minifigs,6,1,1,1,2012,2012,https://rebrickable.com/parts/3626bpr1026/minifig-head-alien-with-robot-silver-with-red-eyes-print-%5Bcol08-1%5D-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/6006819.jpg
3626bpb0033,Minifig Head Balaclava with Silver Framed Face and Headset Print (SW Jango Fett) [Blocked Open Stud],Minifigs,6,1,1,1,2002,2002,https://rebrickable.com/parts/3626bpb0033/minifig-head-balaclava-with-silver-framed-face-and-headset-print-sw-jango-fett-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/4582532.jpg
3626cpr1819,Minifig Head Alien Large Yellow Eye with Red Veins and Orange Iris Print (Sparkks) [Hollow Stud],Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpr1819/minifig-head-alien-large-yellow-eye-with-red-veins-and-orange-iris-print-sparkks-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6129678.jpg
3626bpr1028,"Minifig Head Alien with Fangs, Red Eyes and Dark Bluish Gray Fur Print [Blocked Open Stud]",Minifigs,6,1,1,1,2012,2012,https://rebrickable.com/parts/3626bpr1028/minifig-head-alien-with-fangs+-red-eyes-and-dark-bluish-gray-fur-print-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/6008197.jpg
92760pr0002,"Minifig Headdress SW Zabrak Front Skull Spikes, Black Dots on Front and Hair Agen Kolar Print",Minifigs,6,1,1,1,2012,2012,https://rebrickable.com/parts/92760pr0002/minifig-headdress-sw-zabrak-front-skull-spikes+-black-dots-on-front-and-hair-agen-kolar-print,https://img.rebrickable.com/img/pieces/elements/6034879.jpg
3626cpr1321,"Minifig Head Alien Chima Scorpion with Orange Eyes, Silver Markings and White Fangs Print [Hollow Stud] ",Minifigs,6,3,3,1,2014,2014,https://rebrickable.com/parts/3626cpr1321/minifig-head-alien-chima-scorpion-with-orange-eyes+-silver-markings-and-white-fangs-print-%5Bhollow-st,https://img.rebrickable.com/img/pieces/elements/6056854.jpg
3626bpr0496,"Minifig Head - Evil Skull with Scowl, White Print, Red Eyes Print [Blocked Open Stud]",Minifigs,6,5,5,1,2007,2009,https://rebrickable.com/parts/3626bpr0496/minifig-head-evil-skull-with-scowl+-white-print+-red-eyes-print-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/4506832.jpg
3626cpr1359,"Minifig Head with Yellow Eyes, Dark Brown Fur, Black and White Spots and Fangs Print [Hollow Stud]",Minifigs,6,1,1,1,2014,2014,https://rebrickable.com/parts/3626cpr1359/minifig-head-with-yellow-eyes+-dark-brown-fur+-black-and-white-spots-and-fangs-print-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6057437.jpg
3626cpr1451,MINI HEAD NO.1451,Minifigs,6,1,2,1,2014,2014,https://rebrickable.com/parts/3626cpr1451/mini-head-no.1451,https://img.rebrickable.com/img/pieces/elements/6078022.jpg
3626cpr1748,MINI HEAD NO.1748,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1748/mini-head-no.1748,https://img.rebrickable.com/img/pieces/elements/6122408.jpg
3626cpr1750,MINI HEAD NO.1750,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1750/mini-head-no.1750,https://img.rebrickable.com/img/pieces/elements/6122463.jpg
3626cpr1742,MINI HEAD NO.1742,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1742/mini-head-no.1742,https://img.rebrickable.com/img/pieces/elements/6122220.jpg
3626cpr1687,MINI HEAD NO. 1687,Minifigs,6,2,2,1,2015,2015,https://rebrickable.com/parts/3626cpr1687/mini-head-no.-1687,https://img.rebrickable.com/img/pieces/elements/6116541.jpg
3626cpr1732,MINI HEAD NO. 1732,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1732/mini-head-no.-1732,https://img.rebrickable.com/img/pieces/elements/6121945.jpg
x196,Homemaker Figure Headgear Hair Long,Minifigs,6,49,70,2,1974,1982,https://rebrickable.com/parts/x196/homemaker-figure-headgear-hair-long,https://img.rebrickable.com/img/ni.png
3626cpr1724,MINI HEAD NO 1724,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1724/mini-head-no-1724,https://img.rebrickable.com/img/pieces/elements/6121686.jpg
3626cpr1681,MINI HEAD NO. 1681,Minifigs,6,4,4,1,2015,2015,https://rebrickable.com/parts/3626cpr1681/mini-head-no.-1681,https://img.rebrickable.com/img/pieces/elements/6115166.jpg
3626cpr1960,MINI HEAD NO. 1960,Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpr1960/mini-head-no.-1960,https://img.rebrickable.com/img/pieces/elements/6152817.jpg
3626cpr1703,MINI HEAD NO. 1703,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1703/mini-head-no.-1703,https://img.rebrickable.com/img/pieces/elements/6117299.jpg
3626cpr1893,Mini Head No. 1893,Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpr1893/mini-head-no.-1893,https://img.rebrickable.com/img/pieces/elements/6143848.jpg
3626cpr1981,MINI HEAD NO. 1981,Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpr1981/mini-head-no.-1981,https://img.rebrickable.com/img/pieces/elements/6153649.jpg
3626cpr1805,MINI HEAD NO 1805,Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1805/mini-head-no-1805,https://img.rebrickable.com/img/pieces/elements/6126985.jpg
3626bpr0760,Minifig Head with Face Mask and Silver Goggles Print (SW V-wing Pilot) [Blocked Open Stud],Minifigs,6,1,1,1,2011,2011,https://rebrickable.com/parts/3626bpr0760/minifig-head-with-face-mask-and-silver-goggles-print-sw-v-wing-pilot-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/4613864.jpg
3626cpb1072,Minifig Head Alien with Large White Eyes Print (Comic-Con Spider-Man in Black Symbiote Costume) [Hollow Stud],Minifigs,6,1,1,1,2012,2012,https://rebrickable.com/parts/3626cpb1072/minifig-head-alien-with-large-white-eyes-print-comic-con-spider-man-in-black-symbiote-costume-%5Bhollo,https://img.rebrickable.com/img/pieces/0/3626c.png
3626cpr1202,Minifig Head Dual Sided Alien Chima Skunk with Lavender Eyes and Nose Happy / Sleepy Print (Skinnet) [Hollow Stud],Minifigs,6,1,1,1,2013,2013,https://rebrickable.com/parts/3626cpr1202/minifig-head-dual-sided-alien-chima-skunk-with-lavender-eyes-and-nose-happy-sleepy-print-skinnet-%5Bho,https://img.rebrickable.com/img/pieces/elements/6035172.jpg
3626cpr1613,"Minifig Head Dual Sided Balaclava, White Headband and Cheek Lines, Smirk / Clenched Teeth Print (Batman) [Hollow Stud]",Minifigs,6,8,8,1,2015,2016,https://rebrickable.com/parts/3626cpr1613/minifig-head-dual-sided-balaclava+-white-headband-and-cheek-lines+-smirk-clenched-teeth-print-batman,https://img.rebrickable.com/img/pieces/elements/6103100.jpg
3626cpr1130,"Minifig Head Dual Sided Raven with Silver Beak and Red Mask, Wide Eyes / Narrow Eyes Print [Razar] [Hollow Stud]",Minifigs,6,6,6,1,2013,2015,https://rebrickable.com/parts/3626cpr1130/minifig-head-dual-sided-raven-with-silver-beak-and-red-mask+-wide-eyes-narrow-eyes-print-%5Brazar%5D-%5Bho,https://img.rebrickable.com/img/pieces/elements/6022506.jpg
20598pat01,"Minifig Head Modified Insect with Round Proboscis, 2 Antennae and Trans-Red Bug Eyes with Hatched Lines Pattern",Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/20598pat01/minifig-head-modified-insect-with-round-proboscis+-2-antennae-and-trans-red-bug-eyes-with-hatched-li,https://img.rebrickable.com/img/pieces/elements/6122099.jpg
3626bpr0815,"Minifig Head Alien with SW Darth Maul, Red Face Paint, Nose Print [Blocked Open Stud]",Minifigs,6,7,7,1,1999,2012,https://rebrickable.com/parts/3626bpr0815/minifig-head-alien-with-sw-darth-maul+-red-face-paint+-nose-print-%5Bblocked-open-stud%5D,https://img.rebrickable.com/img/pieces/elements/4629999.jpg
3626cpr0936,Minifig Head Dual Sided Alien with Wrestler Mask with Large Red Eyes / Yellow Hose on Back Print (Bane) [Hollow Stud],Minifigs,6,2,2,1,2012,2016,https://rebrickable.com/parts/3626cpr0936/minifig-head-dual-sided-alien-with-wrestler-mask-with-large-red-eyes-yellow-hose-on-back-print-bane-,https://img.rebrickable.com/img/pieces/elements/6032117.jpg
3626cpr1431,"Minifig Head Dual Sided Alien with Magenta Eyes, Purple Grin with Sharp Teeth and Gold Vertebra on Back Print [Hollow Stud]",Minifigs,6,1,1,1,2014,2014,https://rebrickable.com/parts/3626cpr1431/minifig-head-dual-sided-alien-with-magenta-eyes+-purple-grin-with-sharp-teeth-and-gold-vertebra-on-b,https://img.rebrickable.com/img/pieces/elements/6075070.jpg
3626cpr1129,"Minifig Head Dual Sided Alien Chima Raven with Beak and Gold Crown, Wide Eyes / Narrow Eyes Print (Rawzom) [Hollow Stud]",Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/3626cpr1129/minifig-head-dual-sided-alien-chima-raven-with-beak-and-gold-crown+-wide-eyes-narrow-eyes-print-rawz,https://img.rebrickable.com/img/pieces/elements/6022505.jpg
3626cpr1285,Minifig Head Dual Sided White Strip on Forehead and Cheek Lines / Silver Mask with Medium Blue Goggles Print (Batman) [Hollow Stud],Minifigs,6,2,2,1,2014,2015,https://rebrickable.com/parts/3626cpr1285/minifig-head-dual-sided-white-strip-on-forehead-and-cheek-lines-silver-mask-with-medium-blue-goggles,https://img.rebrickable.com/img/pieces/elements/6055022.jpg
3626bpr0508,Minifig Head Alien (Bane) with Wrestler Mask with Large Red Eyes on Front and Green Hoses on Back print [Blocked Open Stud],Minifigs,6,1,1,1,2007,2007,https://rebrickable.com/parts/3626bpr0508/minifig-head-alien-bane-with-wrestler-mask-with-large-red-eyes-on-front-and-green-hoses-on-back-prin,https://img.rebrickable.com/img/pieces/elements/4511946.jpg
bb15e,Homemaker Figure Headgear Top Hat,Minifig Accessories,26,1,1,1,1978,1978,https://rebrickable.com/parts/bb15e/homemaker-figure-headgear-top-hat,https://img.rebrickable.com/img/ni.png
bb15b,Homemaker Figure Headgear Cowboy Hat,Minifig Accessories,26,2,4,2,1976,1977,https://rebrickable.com/parts/bb15b/homemaker-figure-headgear-cowboy-hat,https://img.rebrickable.com/img/ni.png
x197,Homemaker Figure Headgear Hair Short,Minifigs,6,32,47,2,1974,1982,https://rebrickable.com/parts/x197/homemaker-figure-headgear-hair-short,https://img.rebrickable.com/img/ni.png
22370,"HEAD NO. 5, 2015 ASS.",Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/22370/head-no.-5+-2015-ass.,https://img.rebrickable.com/img/pieces/elements/6124315.jpg
3626cpr1133,"Minifig Head Dual Sided Chima Raven with Silver Beak, Eyepatch and Dark Purple Feathers, Wide / Narrow Eye Print [Hollow Stud]",Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/3626cpr1133/minifig-head-dual-sided-chima-raven-with-silver-beak+-eyepatch-and-dark-purple-feathers+-wide-narrow,https://img.rebrickable.com/img/pieces/elements/6022509.jpg
3626cpr1131,"Minifig Head Dual Sided Chima Raven with Beak, Yellow Eyes and Dark Red Pupils, Narrow / Wide Eyes Print [Hollow Stud]",Minifigs,6,5,5,1,2013,2013,https://rebrickable.com/parts/3626cpr1131/minifig-head-dual-sided-chima-raven-with-beak+-yellow-eyes-and-dark-red-pupils+-narrow-wide-eyes-pri,https://img.rebrickable.com/img/pieces/elements/6022507.jpg
3626cpr1136,"Minifig Head Dual Sided Alien Chima Wolf with Orange Eyes and White Fangs, Wide Eyes / Narrow Eyes Print (Wilhurt) [Hollow Stud]",Minifigs,6,3,3,1,2013,2014,https://rebrickable.com/parts/3626cpr1136/minifig-head-dual-sided-alien-chima-wolf-with-orange-eyes-and-white-fangs+-wide-eyes-narrow-eyes-pri,https://img.rebrickable.com/img/pieces/elements/6063514.jpg
973pr3519c01,Torso T-Shirt with White Minifig Head Skull Pattern / Light Bluish Gray Arms with Black Short Sleeves and Stripes Pattern / White Hands,Minifigs,6,2,2,2,2016,2016,https://rebrickable.com/parts/973pr3519c01/torso-t-shirt-with-white-minifig-head-skull-pattern-light-bluish-gray-arms-with-black-short-sleeves-,https://img.rebrickable.com/img/pieces/elements/6158472.jpg
3626cpr1879,"Minifig, Head Female Balaclava with Light Aqua Face Hole, Medium Lavender Eye Shadow, Pointed Eyebrows, Red Lips print (Maleficent) - [Hollow Stud]",Minifigs,6,1,1,1,2016,2016,https://rebrickable.com/parts/3626cpr1879/minifig+-head-female-balaclava-with-light-aqua-face-hole+-medium-lavender-eye-shadow+-pointed-eyebro,https://img.rebrickable.com/img/pieces/elements/6143855.jpg
973pr2544c01,"Torso Police 3 Zippers, Minifig Head Badge, Radio and Belt Print (Print on Front and Back) / Black Arms / Dark Bluish Gray Hands",Minifigs,6,5,5,1,2014,2015,https://rebrickable.com/parts/973pr2544c01/torso-police-3-zippers+-minifig-head-badge+-radio-and-belt-print-print-on-front-and-back-black-arms-,https://img.rebrickable.com/img/pieces/elements/6057687.jpg
3626cpr1576,"Minifig Head Dual Sided Alien Chima Panther with Yellow Eyes, Fangs and Dark Blue Facial Lines, Neutral / Angry Print (Tormak) [Hollow Stud]",Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/3626cpr1576/minifig-head-dual-sided-alien-chima-panther-with-yellow-eyes+-fangs-and-dark-blue-facial-lines+-neut,https://img.rebrickable.com/img/pieces/elements/6099340.jpg
3626cpr1206,"Minifig Head Dual Sided Alien Chima Gorilla with Yellow Eyes, Fangs and Gray Face, Closed Mouth / Open Mouth Print (Gorzan) [Hollow Stud]",Minifigs,6,10,10,1,2013,2015,https://rebrickable.com/parts/3626cpr1206/minifig-head-dual-sided-alien-chima-gorilla-with-yellow-eyes+-fangs-and-gray-face+-closed-mouth-open,https://img.rebrickable.com/img/pieces/elements/6035176.jpg
x351,Brick Special 2 x 2 Racer Driver No Head,Minifigs,6,20,27,7,2002,2003,https://rebrickable.com/parts/x351/brick-special-2-x-2-racer-driver-no-head,https://img.rebrickable.com/img/ni.png
3626cpr1150,Minifig Head Alien with Silver Eyes with Red Dots and Dark Red Headband Print [Hollow Stud],Minifigs,6,8,9,1,2013,2014,https://rebrickable.com/parts/3626cpr1150/minifig-head-alien-with-silver-eyes-with-red-dots-and-dark-red-headband-print-%5Bhollow-stud%5D,https://img.rebrickable.com/img/pieces/elements/6022943.jpg
970c00pr0549,Legs and Dark Tan Hips with Steer Head Belt and Chaps Print,Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/970c00pr0549/legs-and-dark-tan-hips-with-steer-head-belt-and-chaps-print,https://img.rebrickable.com/img/pieces/elements/6042825.jpg
15830,Minfigure Helmet - Nindroid Headpiece with Complex Targeting System Print ,Minifig Accessories,26,1,1,1,2013,2013,https://rebrickable.com/parts/15830/minfigure-helmet-nindroid-headpiece-with-complex-targeting-system-print-,https://img.rebrickable.com/img/pieces/elements/6055778.jpg
973pr1512c01,Torso Alien with Orange Skin and Black Open Vest with Alien Head Print / Orange Arms / Black Hands,Minifigs,6,2,2,1,2009,2009,https://rebrickable.com/parts/973pr1512c01/torso-alien-with-orange-skin-and-black-open-vest-with-alien-head-print-orange-arms-black-hands,https://img.rebrickable.com/img/pieces/elements/4552531.jpg
973pr2903c01,"Torso Leather Vest over Bare Chest, Tooth Necklace, Snake Heads Belt Buckle, Snake Head on Reverse Print / Yellow Arms / Black Hands",Minifigs,6,1,1,1,2015,2015,https://rebrickable.com/parts/973pr2903c01/torso-leather-vest-over-bare-chest+-tooth-necklace+-snake-heads-belt-buckle+-snake-head-on-reverse-p,https://img.rebrickable.com/img/pieces/elements/6102411.jpg
973pr2396c01,"Torso with Lace-up Shirt, Red Trim and Silver Dragon Head Chain Print / Black Arms / Red Hands",Minifigs,6,1,1,1,2013,2013,https://rebrickable.com/parts/973pr2396c01/torso-with-lace-up-shirt+-red-trim-and-silver-dragon-head-chain-print-black-arms-red-hands,https://img.rebrickable.com/img/pieces/elements/6039763.jpg
973px120c01,Torso Castle Knights Kingdom Bull&#039;s Head on Brown Shield Print / Dark Gray Arms / Red Hands,Minifigs,6,7,7,1,2000,2000,https://rebrickable.com/parts/973px120c01/torso-castle-knights-kingdom-bulls-head-on-brown-shield-print-dark-gray-arms-red-hands,https://img.rebrickable.com/img/ni.png
973pr1827c01,"Torso Armor with Gold Dragon Wings, Dwarf Head Buckle and Pouches Print / Dark Bluish Gray Arms / Yellow Hands",Minifigs,6,1,1,1,2011,2011,https://rebrickable.com/parts/973pr1827c01/torso-armor-with-gold-dragon-wings+-dwarf-head-buckle-and-pouches-print-dark-bluish-gray-arms-yellow,https://img.rebrickable.com/img/pieces/elements/4668450.jpg
973pr2239c01,"Torso Armor with Dark Bluish Gray Belts, Gold Raven Head and Blue Round Jewel (Chi) Print / Black Arms / Dark Purple Hands",Minifigs,6,2,2,1,2013,2013,https://rebrickable.com/parts/973pr2239c01/torso-armor-with-dark-bluish-gray-belts+-gold-raven-head-and-blue-round-jewel-chi-print-black-arms-d,https://img.rebrickable.com/img/pieces/elements/6022560.jpg
